#19201-19500 Amani 19501-19800 Atal'ai 19801-20100 Razorbranch 20101-20400 Firetree  20401-20700 Mossflayer 20701-21000 Revantusk 21001-21300 Vilebrach 21301-21600 Shadowpine 21601-21900 Whitebark 21901-22200 Bloodscalp
#22201-22500 Darkspear 22501-22800 Gurubashi 22801-23100 Shatterspear 23101-23400 Drakkari 23401-23700 Frostmane 23701-24000 Sandfury 24001-24300 Smolderthorn 24301-24600 Shadowglen 24601-24900 Winterax 
#24901-25200 Winterfang 25201-25500 Shadowtooth 25501-25700 Zandalari 25701-26000 Zulian 26001-26300 Razzashi

#Dynasties 19001 - 19200 used for named troll characters


19231 = { name = "Ala'tor" culture = amani }
19232 = { name = "Sala'jin" culture = amani }
19233 = { name = "Tol'gashi" culture = amani }
19234 = { name = "Val'jin" culture = amani }
19235 = { name = "Val'jala" culture = amani }
19236 = { name = "Val'daka" culture = amani }
19237 = { name = "Putikala" culture = amani }
19238 = { name = "Xuhala" culture = amani }
19239 = { name = "Xuhanaka" culture = amani }
19240 = { name = "Ostawa" culture = amani }
19241 = { name = "Ostawana" culture = amani }
19242 = { name = "Ostmawi" culture = amani }
19243 = { name = "Dkana" culture = amani }
19244 = { name = "Arakana" culture = amani }
19245 = { name = "Garakana" culture = amani }
19246 = { name = "Grakhana" culture = amani }
19247 = { name = "Makarena" culture = amani }
19248 = { name = "Malakara" culture = amani }
19249 = { name = "Tonamala" culture = amani }
19250 = { name = "Bwotsugala" culture = amani }
19251 = { name = "Motani" culture = amani }
19252 = { name = "Motami" culture = amani }
19253 = { name = "Nasrani" culture = amani }
19254 = { name = "Dkala" culture = amani }
19255 = { name = "Ukhala" culture = amani }
19256 = { name = "Ughandi" culture = amani }
19257 = { name = "Maldambi" culture = amani }
19258 = { name = "Maldonambi" culture = amani }
19259 = { name = "Kuretaka" culture = amani }
19260 = { name = "Hala" culture = amani }
19261 = { name = "Velkahala" culture = amani }
19262 = { name = "Malahala" culture = amani }
19263 = { name = "Zambala" culture = amani }
19264 = { name = "Foreva" culture = amani }
19265 = { name = "T'chkani" culture = amani }
19266 = { name = "T'pkala" culture = amani }
19267 = { name = "Zalajin" culture = amani }
19268 = { name = "Zalan'jin" culture = amani }
19269 = { name = "Zemba" culture = amani }
19270 = { name = "Zebala" culture = amani }
19271 = { name = "Zebawala" culture = amani }
19272 = { name = "Zekonjin" culture = amani }
19273 = { name = "Zantala" culture = amani }
19274 = { name = "Zurawana" culture = amani }
19275 = { name = "Zalewana" culture = amani }
19276 = { name = "Zakarawana" culture = amani }
19277 = { name = "Mbuka" culture = amani }
19278 = { name = "Ntuka" culture = amani }
19279 = { name = "Tskala" culture = amani }
19280 = { name = "Tiskala" culture = amani }
19281 = { name = "Walazamin" culture = amani }
19282 = { name = "Warazana" culture = amani }
19283 = { name = "Kazarjin" culture = amani }
19284 = { name = "Alkahalu" culture = amani }
19285 = { name = "Wzala" culture = amani }
19286 = { name = "Ktalu" culture = amani }
19287 = { name = "Wtalu" culture = amani }
19288 = { name = "Zebudalu" culture = amani }
19289 = { name = "Anadalu" culture = amani }
19290 = { name = "Dakari" culture = amani }
19291 = { name = "Kahirari" culture = amani }
19292 = { name = "Xuljin" culture = amani }
19293 = { name = "Xuhana" culture = amani }
19294 = { name = "Mbekala" culture = amani }
19295 = { name = "Terokala" culture = amani }
19296 = { name = "Wandalu" culture = amani }
19297 = { name = "Pomeranu" culture = amani }
19298 = { name = "Nkali" culture = amani }
19299 = { name = "Zantalajin" culture = amani }
19300 = { name = "Zebrajin" culture = amani }
19301 = { name = "Al'jibo" culture = amani }
19302 = { name = "Arrowtusk" culture = amani }
19303 = { name = "Bag'go" culture = amani }
19304 = { name = "Bastoon" culture = amani }
19305 = { name = "Windswatcher" culture = amani }
19306 = { name = "Beastwalker" culture = amani }
19307 = { name = "Steadfast" culture = amani }
19308 = { name = "Blazeweaver" culture = amani }
19309 = { name = "Bloodfrenzy" culture = amani }
19310 = { name = "Bloodteeth" culture = amani }
19311 = { name = "Bloodtusk" culture = amani }
19312 = { name = "Brokenspear" culture = amani }
19313 = { name = "Darktusk" culture = amani }
19314 = { name = "Drakebane" culture = amani }
19315 = { name = "Flamecaller" culture = amani }
19316 = { name = "Flamekeeper" culture = amani }
19317 = { name = "Firetusk" culture = amani }
19318 = { name = "Firewarder" culture = amani }
19319 = { name = "Gadrin" culture = amani }
19320 = { name = "Golomojo" culture = amani }
19321 = { name = "Grimtusk" culture = amani }
19322 = { name = "Blood Drinker" culture = amani }
19323 = { name = "Bloodfury" culture = amani }
19324 = { name = "Bloodlord" culture = amani }
19325 = { name = "Bloodrager" culture = amani }
19326 = { name = "Bloodrider" culture = amani }
19327 = { name = "Headhunter" culture = amani }
19328 = { name = "Hexxer" culture = amani }
19329 = { name = "Headsplitter" culture = amani }
19330 = { name = "Gutwrench" culture = amani }
19331 = { name = "Shadowcaster" culture = amani }
19332 = { name = "Seadog" culture = amani }
19333 = { name = "Hexx" culture = amani }
19334 = { name = "Hexxen" culture = amani }
19335 = { name = "Mojo" culture = amani }
19336 = { name = "Ji'ro" culture = amani }
19337 = { name = "Soulripper" culture = amani }
19338 = { name = "Duskwhisperer" culture = amani }
19339 = { name = "Longeye" culture = amani }
19340 = { name = "Manslayer" culture = amani }
19341 = { name = "Mandoom" culture = amani }
19342 = { name = "Manbane" culture = amani }
19343 = { name = "Flame Eater" culture = amani }
19344 = { name = "Dismantler" culture = amani }
19345 = { name = "Mordune" culture = amani }
19346 = { name = "Mossmeld" culture = amani }
19347 = { name = "Nightfang" culture = amani }
19348 = { name = "Loa-singer" culture = amani }
19349 = { name = "Spotter" culture = amani }
19350 = { name = "Shakko" culture = amani }
19351 = { name = "Toxifier" culture = amani }
19352 = { name = "Steeltusk" culture = amani }
19353 = { name = "Stonetusk" culture = amani }
19354 = { name = "Stormweaver" culture = amani }
19355 = { name = "Lifegrower" culture = amani }
19356 = { name = "Starcaller" culture = amani }
19357 = { name = "Thornhide" culture = amani }
19358 = { name = "Ironshaper" culture = amani }
19359 = { name = "Patchmonger" culture = amani }
19360 = { name = "Thundercall" culture = amani }
19361 = { name = "Two-Tusk" culture = amani }
19362 = { name = "Elementalist" culture = amani }
19363 = { name = "Vandal" culture = amani }
19364 = { name = "Sadist" culture = amani }
19365 = { name = "Zurani" culture = amani }
19366 = { name = "Eaglebane" culture = amani }
19367 = { name = "Two-Toes" culture = amani }
19368 = { name = "Hideskinner" culture = amani }
19369 = { name = "Scalper" culture = amani }
19370 = { name = "Warpbranch" culture = amani }
19371 = { name = "Gutchewer" culture = amani }
19372 = { name = "Subduer" culture = amani }
19373 = { name = "Gulkan" culture = amani }
19374 = { name = "Skullcrusher" culture = amani }
19375 = { name = "Ramuk" culture = amani }
19376 = { name = "Soothsayer" culture = amani }
19377 = { name = "Berserker" culture = amani }
19378 = { name = "Springbringer" culture = amani }
19379 = { name = "Elvenbane" culture = amani }
19380 = { name = "Elfeater" culture = amani }
19381 = { name = "Thunala" culture = amani }
19382 = { name = "Mbeki" culture = amani }
19383 = { name = "T'kani" culture = amani }
19384 = { name = "Lurakana" culture = amani }
19385 = { name = "Asnali" culture = amani }
19386 = { name = "Tetuleme" culture = amani }
19387 = { name = "Ruksaki" culture = amani }
19388 = { name = "Fenri" culture = amani }
19389 = { name = "Ndeku" culture = amani }
19390 = { name = "I'neku" culture = amani }
19391 = { name = "Tawani" culture = amani }
19392 = { name = "Tarawi" culture = amani }
19393 = { name = "Tarawami" culture = amani }
19394 = { name = "Osnetala" culture = amani }
19395 = { name = "Tsungu" culture = amani }
19396 = { name = "Mbungu" culture = amani }
19397 = { name = "Dnungu" culture = amani }
19398 = { name = "Pnungu" culture = amani }
19399 = { name = "Kari" culture = amani }
19400 = { name = "Nosekari" culture = amani }
19401 = { name = "Ajanlekoko" culture = amani }
19402 = { name = "Ormiata" culture = amani }
19403 = { name = "Apeloko" culture = amani }
19404 = { name = "Abimbola" culture = amani }
19405 = { name = "Abioye" culture = amani }
19406 = { name = "Adebowale" culture = amani }
19407 = { name = "Adisa" culture = amani }
19408 = { name = "Afia" culture = amani }
19409 = { name = "Afolabi" culture = amani }
19410 = { name = "Afua" culture = amani }
19411 = { name = "Akachi" culture = amani }
19412 = { name = "Akinyi" culture = amani }
19413 = { name = "Akua" culture = amani }
19414 = { name = "Baako" culture = amani }
19415 = { name = "Babajide" culture = amani }
19416 = { name = "Babak" culture = amani }
19417 = { name = "Babatunde" culture = amani }
19418 = { name = "Babette" culture = amani }
19419 = { name = "Chiamaka" culture = amani }
19420 = { name = "Chibuzo" culture = amani }
19421 = { name = "Chidike" culture = amani }
19422 = { name = "Cidubem" culture = amani }
19423 = { name = "Chike" culture = amani }
19424 = { name = "Chikelu" culture = amani }
19425 = { name = "Chikere" culture = amani }
19426 = { name = "Chipo" culture = amani }
19427 = { name = "Chuks" culture = amani }
19429 = { name = "Chukwuemeka" culture = amani }
19430 = { name = "Ekua" culture = amani }
19431 = { name = "Emeka" culture = amani }
19432 = { name = "Emem" culture = amani }
19433 = { name = "Faraji" culture = amani }
19434 = { name = "Femi" culture = amani }
19435 = { name = "Folami" culture = amani }
19436 = { name = "Fumnaya" culture = amani }
19437 = { name = "Furaha" culture = amani }
19438 = { name = "Ife" culture = amani }
19439 = { name = "Imamu" culture = amani }
19440 = { name = "Manslayer" culture = amani }
19441 = { name = "Imani" culture = amani }
19442 = { name = "Imari" culture = amani }
19443 = { name = "Jabari" culture = amani }
19444 = { name = "Jaheem" culture = amani }
19445 = { name = "Jaz" culture = amani }
19446 = { name = "Jelani" culture = amani }
19447 = { name = "Jojo" culture = amani }
19448 = { name = "Kanye" culture = amani }
19449 = { name = "Kenya" culture = amani }
19450 = { name = "Azikiwe" culture = amani }
19451 = { name = "Awolowo" culture = amani }
19452 = { name = "Bello" culture = amani }
19453 = { name = "Balewa" culture = amani }
19454 = { name = "Akintola" culture = amani }
19455 = { name = "Okotie-Eboh" culture = amani }
19456 = { name = "Nzeogwu" culture = amani }
19458 = { name = "Onwuatuegwu" culture = amani }
19459 = { name = "Okafor" culture = amani }
19460 = { name = "Okereke" culture = amani }
19461 = { name = "Okeke" culture = amani }
19462 = { name = "Okonkwo" culture = amani }
19463 = { name = "Okoye" culture = amani }
19464 = { name = "Okorie" culture = amani }
19465 = { name = "Obasanjo" culture = amani }
19466 = { name = "Babangida" culture = amani }
19467 = { name = "Buhari" culture = amani }
19468 = { name = "Dimka" culture = amani }
19469 = { name = "Diya" culture = amani }
19470 = { name = "Odili" culture = amani }
19471 = { name = "Ibori" culture = amani }
19472 = { name = "Igbinedion" culture = amani }
19473 = { name = "Alamiyeseigha" culture = amani }
19474 = { name = "Yar'adua" culture = amani }
19475 = { name = "Akpabio" culture = amani }
19476 = { name = "Attah" culture = amani }
19477 = { name = "Chukwumereije" culture = amani }
19478 = { name = "Akunyili" culture = amani }
19479 = { name = "Iweala" culture = amani }
19480 = { name = "Okonjo" culture = amani }
19481 = { name = "Ezekwesili" culture = amani }
19482 = { name = "Achebe" culture = amani }
19483 = { name = "Soyinka" culture = amani }
19484 = { name = "Solarin" culture = amani }
19485 = { name = "Gbadamosi" culture = amani }
19486 = { name = "Olanrewaju" culture = amani }
19487 = { name = "Magoro" culture = amani }
19488 = { name = "Madaki" culture = amani }
19489 = { name = "Jang" culture = amani }
19490 = { name = "Oyinlola" culture = amani }
19491 = { name = "Oyenusi" culture = amani }
19492 = { name = "Onejekwe" culture = amani }
19493 = { name = "Onwudine" culture = amani }
19494 = { name = "Jakande" culture = amani }
19495 = { name = "Kalejaiye" culture = amani }
19496 = { name = "Igwe" culture = amani }
19497 = { name = "Eze" culture = amani }
19498 = { name = "Obi" culture = amani }
19499 = { name = "Ngige" culture = amani }
19500 = { name = "Uba" culture = amani }


19501 = { name = "Armorai" culture = atalai }
19502 = { name = "Pogine" culture = atalai }
19503 = { name = "Talaniji" culture = atalai }
19504 = { name = "Ilatike" culture = atalai }
19505 = { name = "Nagetza" culture = atalai }
19506 = { name = "Vetla" culture = atalai }
19507 = { name = "Tajani" culture = atalai }
19508 = { name = "Tregweni" culture = atalai }
19509 = { name = "Valakidu" culture = atalai }
19510 = { name = "Zebuwa" culture = atalai }
19511 = { name = "Armani" culture = atalai }
19512 = { name = "Berwandi" culture = atalai }
19513 = { name = "Huntani" culture = atalai }
19514 = { name = "Kontala" culture = atalai }
19515 = { name = "Gyatsu" culture = atalai }
19516 = { name = "Zuldani" culture = atalai }
19517 = { name = "Makari" culture = atalai }
19518 = { name = "Barraki" culture = atalai }
19519 = { name = "Tsanami" culture = atalai }
19520 = { name = "Bwotswani" culture = atalai }
19521 = { name = "Mossami" culture = atalai }
19522 = { name = "Mossa" culture = atalai }
19523 = { name = "Nzala" culture = atalai }
19524 = { name = "Mbakala" culture = atalai }
19525 = { name = "Tzala" culture = atalai }
19526 = { name = "Zora" culture = atalai }
19527 = { name = "Bandbani" culture = atalai }
19528 = { name = "Terojin" culture = atalai }
19529 = { name = "Tonami" culture = atalai }
19530 = { name = "Uchi'hala" culture = atalai }
19531 = { name = "Ala'tor" culture = atalai }
19532 = { name = "Sala'jin" culture = atalai }
19533 = { name = "Tol'gashi" culture = atalai }
19534 = { name = "Val'jin" culture = atalai }
19535 = { name = "Val'jala" culture = atalai }
19536 = { name = "Val'daka" culture = atalai }
19537 = { name = "Putikala" culture = atalai }
19538 = { name = "Xuhala" culture = atalai }
19539 = { name = "Xuhanaka" culture = atalai }
19540 = { name = "Ostawa" culture = atalai }
19541 = { name = "Ostawana" culture = atalai }
19542 = { name = "Ostmawi" culture = atalai }
19543 = { name = "Dkana" culture = atalai }
19544 = { name = "Arakana" culture = atalai }
19545 = { name = "Garakana" culture = atalai }
19546 = { name = "Grakhana" culture = atalai }
19547 = { name = "Makarena" culture = atalai }
19548 = { name = "Malakara" culture = atalai }
19549 = { name = "Tonamala" culture = atalai }
19550 = { name = "Bwotsugala" culture = atalai }
19551 = { name = "Motani" culture = atalai }
19552 = { name = "Motami" culture = atalai }
19553 = { name = "Nasrani" culture = atalai }
19554 = { name = "Dkala" culture = atalai }
19555 = { name = "Ukhala" culture = atalai }
19556 = { name = "Ughandi" culture = atalai }
19557 = { name = "Maldambi" culture = atalai }
19558 = { name = "Maldonambi" culture = atalai }
19559 = { name = "Kuretaka" culture = atalai }
19560 = { name = "Hala" culture = atalai }
19561 = { name = "Velkahala" culture = atalai }
19562 = { name = "Malahala" culture = atalai }
19563 = { name = "Zambala" culture = atalai }
19564 = { name = "Foreva" culture = atalai }
19565 = { name = "T'chkani" culture = atalai }
19566 = { name = "T'pkala" culture = atalai }
19567 = { name = "Zalajin" culture = atalai }
19568 = { name = "Zalan'jin" culture = atalai }
19569 = { name = "Zemba" culture = atalai }
19570 = { name = "Zebala" culture = atalai }
19571 = { name = "Zebawala" culture = atalai }
19572 = { name = "Zekonjin" culture = atalai }
19573 = { name = "Zantala" culture = atalai }
19574 = { name = "Zurawana" culture = atalai }
19575 = { name = "Zalewana" culture = atalai }
19576 = { name = "Zakarawana" culture = atalai }
19577 = { name = "Mbuka" culture = atalai }
19578 = { name = "Ntuka" culture = atalai }
19579 = { name = "Tskala" culture = atalai }
19580 = { name = "Tiskala" culture = atalai }
19581 = { name = "Walazamin" culture = atalai }
19582 = { name = "Warazana" culture = atalai }
19583 = { name = "Kazarjin" culture = atalai }
19584 = { name = "Alkahalu" culture = atalai }
19585 = { name = "Wzala" culture = atalai }
19586 = { name = "Ktalu" culture = atalai }
19587 = { name = "Wtalu" culture = atalai }
19588 = { name = "Zebudalu" culture = atalai }
19589 = { name = "Anadalu" culture = atalai }
19590 = { name = "Dakari" culture = atalai }
19591 = { name = "Kahirari" culture = atalai }
19592 = { name = "Xuljin" culture = atalai }
19593 = { name = "Xuhana" culture = atalai }
19594 = { name = "Mbekala" culture = atalai }
19595 = { name = "Terokala" culture = atalai }
19596 = { name = "Wandalu" culture = atalai }
19597 = { name = "Pomeranu" culture = atalai }
19598 = { name = "Nkali" culture = atalai }
19599 = { name = "Zantalajin" culture = atalai }
19600 = { name = "Zebrajin" culture = atalai }
19601 = { name = "Al'jibo" culture = atalai }
19602 = { name = "Arrowtusk" culture = atalai }
19603 = { name = "Bag'go" culture = atalai }
19604 = { name = "Bastoon" culture = atalai }
19605 = { name = "Windswatcher" culture = atalai }
19606 = { name = "Beastwalker" culture = atalai }
19607 = { name = "Steadfast" culture = atalai }
19608 = { name = "Blazeweaver" culture = atalai }
19609 = { name = "Bloodfrenzy" culture = atalai }
19610 = { name = "Bloodteeth" culture = atalai }
19611 = { name = "Bloodtusk" culture = atalai }
19612 = { name = "Brokenspear" culture = atalai }
19613 = { name = "Darktusk" culture = atalai }
19614 = { name = "Drakebane" culture = atalai }
19615 = { name = "Flamecaller" culture = atalai }
19616 = { name = "Flamekeeper" culture = atalai }
19617 = { name = "Firetusk" culture = atalai }
19618 = { name = "Firewarder" culture = atalai }
19619 = { name = "Gadrin" culture = atalai }
19620 = { name = "Golomojo" culture = atalai }
19621 = { name = "Grimtusk" culture = atalai }
19622 = { name = "Blood Drinker" culture = atalai }
19623 = { name = "Bloodfury" culture = atalai }
19624 = { name = "Bloodlord" culture = atalai }
19625 = { name = "Bloodrager" culture = atalai }
19626 = { name = "Bloodrider" culture = atalai }
19627 = { name = "Headhunter" culture = atalai }
19628 = { name = "Hexxer" culture = atalai }
19629 = { name = "Headsplitter" culture = atalai }
19630 = { name = "Gutwrench" culture = atalai }
19631 = { name = "Shadowcaster" culture = atalai }
19632 = { name = "Seadog" culture = atalai }
19633 = { name = "Hexx" culture = atalai }
19634 = { name = "Hexxen" culture = atalai }
19635 = { name = "Mojo" culture = atalai }
19636 = { name = "Ji'ro" culture = atalai }
19637 = { name = "Soulripper" culture = atalai }
19638 = { name = "Duskwhisperer" culture = atalai }
19639 = { name = "Longeye" culture = atalai }
19640 = { name = "Manslayer" culture = atalai }
19641 = { name = "Mandoom" culture = atalai }
19642 = { name = "Manbane" culture = atalai }
19643 = { name = "Flame Eater" culture = atalai }
19644 = { name = "Dismantler" culture = atalai }
19645 = { name = "Mordune" culture = atalai }
19646 = { name = "Mossmeld" culture = atalai }
19647 = { name = "Nightfang" culture = atalai }
19648 = { name = "Loa-singer" culture = atalai }
19649 = { name = "Spotter" culture = atalai }
19650 = { name = "Shakko" culture = atalai }
19651 = { name = "Toxifier" culture = atalai }
19652 = { name = "Steeltusk" culture = atalai }
19653 = { name = "Stonetusk" culture = atalai }
19654 = { name = "Stormweaver" culture = atalai }
19655 = { name = "Lifegrower" culture = atalai }
19656 = { name = "Starcaller" culture = atalai }
19657 = { name = "Thornhide" culture = atalai }
19658 = { name = "Ironshaper" culture = atalai }
19659 = { name = "Patchmonger" culture = atalai }
19660 = { name = "Thundercall" culture = atalai }
19661 = { name = "Two-Tusk" culture = atalai }
19662 = { name = "Elementalist" culture = atalai }
19663 = { name = "Vandal" culture = atalai }
19664 = { name = "Sadist" culture = atalai }
19665 = { name = "Zurani" culture = atalai }
19666 = { name = "Eaglebane" culture = atalai }
19667 = { name = "Two-Toes" culture = atalai }
19668 = { name = "Hideskinner" culture = atalai }
19669 = { name = "Scalper" culture = atalai }
19670 = { name = "Warpbranch" culture = atalai }
19671 = { name = "Gutchewer" culture = atalai }
19672 = { name = "Subduer" culture = atalai }
19673 = { name = "Gulkan" culture = atalai }
19674 = { name = "Skullcrusher" culture = atalai }
19675 = { name = "Ramuk" culture = atalai }
19676 = { name = "Soothsayer" culture = atalai }
19677 = { name = "Berserker" culture = atalai }
19678 = { name = "Springbringer" culture = atalai }
19679 = { name = "Elvenbane" culture = atalai }
19680 = { name = "Elfeater" culture = atalai }
19681 = { name = "Thunala" culture = atalai }
19682 = { name = "Mbeki" culture = atalai }
19683 = { name = "T'kani" culture = atalai }
19684 = { name = "Lurakana" culture = atalai }
19685 = { name = "Asnali" culture = atalai }
19686 = { name = "Tetuleme" culture = atalai }
19687 = { name = "Ruksaki" culture = atalai }
19688 = { name = "Fenri" culture = atalai }
19689 = { name = "Ndeku" culture = atalai }
19690 = { name = "I'neku" culture = atalai }
19691 = { name = "Tawani" culture = atalai }
19692 = { name = "Tarawi" culture = atalai }
19693 = { name = "Tarawami" culture = atalai }
19694 = { name = "Osnetala" culture = atalai }
19695 = { name = "Tsungu" culture = atalai }
19696 = { name = "Mbungu" culture = atalai }
19697 = { name = "Dnungu" culture = atalai }
19698 = { name = "Pnungu" culture = atalai }
19699 = { name = "Kari" culture = atalai }
19700 = { name = "Nosekari" culture = atalai }
19701 = { name = "Ajanlekoko" culture = atalai }
19702 = { name = "Ormiata" culture = atalai }
19703 = { name = "Apeloko" culture = atalai }
19704 = { name = "Abimbola" culture = atalai }
19705 = { name = "Abioye" culture = atalai }
19706 = { name = "Adebowale" culture = atalai }
19707 = { name = "Adisa" culture = atalai }
19708 = { name = "Afia" culture = atalai }
19709 = { name = "Afolabi" culture = atalai }
19710 = { name = "Afua" culture = atalai }
19711 = { name = "Akachi" culture = atalai }
19712 = { name = "Akinyi" culture = atalai }
19713 = { name = "Akua" culture = atalai }
19714 = { name = "Baako" culture = atalai }
19715 = { name = "Babajide" culture = atalai }
19716 = { name = "Babak" culture = atalai }
19717 = { name = "Babatunde" culture = atalai }
19718 = { name = "Babette" culture = atalai }
19719 = { name = "Chiamaka" culture = atalai }
19720 = { name = "Chibuzo" culture = atalai }
19721 = { name = "Chidike" culture = atalai }
19722 = { name = "Cidubem" culture = atalai }
19723 = { name = "Chike" culture = atalai }
19724 = { name = "Chikelu" culture = atalai }
19725 = { name = "Chikere" culture = atalai }
19726 = { name = "Chipo" culture = atalai }
19727 = { name = "Chuks" culture = atalai }
19729 = { name = "Chukwuemeka" culture = atalai }
19730 = { name = "Ekua" culture = atalai }
19731 = { name = "Emeka" culture = atalai }
19732 = { name = "Emem" culture = atalai }
19733 = { name = "Faraji" culture = atalai }
19734 = { name = "Femi" culture = atalai }
19735 = { name = "Folami" culture = atalai }
19736 = { name = "Fumnaya" culture = atalai }
19737 = { name = "Furaha" culture = atalai }
19738 = { name = "Ife" culture = atalai }
19739 = { name = "Imamu" culture = atalai }
19740 = { name = "Manslayer" culture = atalai }
19741 = { name = "Imani" culture = atalai }
19742 = { name = "Imari" culture = atalai }
19743 = { name = "Jabari" culture = atalai }
19744 = { name = "Jaheem" culture = atalai }
19745 = { name = "Jaz" culture = atalai }
19746 = { name = "Jelani" culture = atalai }
19747 = { name = "Jojo" culture = atalai }
19748 = { name = "Kanye" culture = atalai }
19749 = { name = "Kenya" culture = atalai }
19750 = { name = "Azikiwe" culture = atalai }
19751 = { name = "Awolowo" culture = atalai }
19752 = { name = "Bello" culture = atalai }
19753 = { name = "Balewa" culture = atalai }
19754 = { name = "Akintola" culture = atalai }
19755 = { name = "Okotie-Eboh" culture = atalai }
19756 = { name = "Nzeogwu" culture = atalai }
19758 = { name = "Onwuatuegwu" culture = atalai }
19759 = { name = "Okafor" culture = atalai }
19760 = { name = "Okereke" culture = atalai }
19761 = { name = "Okeke" culture = atalai }
19762 = { name = "Okonkwo" culture = atalai }
19763 = { name = "Okoye" culture = atalai }
19764 = { name = "Okorie" culture = atalai }
19765 = { name = "Obasanjo" culture = atalai }
19766 = { name = "Babangida" culture = atalai }
19767 = { name = "Buhari" culture = atalai }
19768 = { name = "Dimka" culture = atalai }
19769 = { name = "Diya" culture = atalai }
19770 = { name = "Odili" culture = atalai }
19771 = { name = "Ibori" culture = atalai }
19772 = { name = "Igbinedion" culture = atalai }
19773 = { name = "Alamiyeseigha" culture = atalai }
19774 = { name = "Yar'adua" culture = atalai }
19775 = { name = "Akpabio" culture = atalai }
19776 = { name = "Attah" culture = atalai }
19777 = { name = "Chukwumereije" culture = atalai }
19778 = { name = "Akunyili" culture = atalai }
19779 = { name = "Iweala" culture = atalai }
19780 = { name = "Okonjo" culture = atalai }
19781 = { name = "Ezekwesili" culture = atalai }
19782 = { name = "Achebe" culture = atalai }
19783 = { name = "Soyinka" culture = atalai }
19784 = { name = "Solarin" culture = atalai }
19785 = { name = "Gbadamosi" culture = atalai }
19786 = { name = "Olanrewaju" culture = atalai }
19787 = { name = "Magoro" culture = atalai }
19788 = { name = "Madaki" culture = atalai }
19789 = { name = "Jang" culture = atalai }
19790 = { name = "Oyinlola" culture = atalai }
19791 = { name = "Oyenusi" culture = atalai }
19792 = { name = "Onejekwe" culture = atalai }
19793 = { name = "Onwudine" culture = atalai }
19794 = { name = "Jakande" culture = atalai }
19795 = { name = "Kalejaiye" culture = atalai }
19796 = { name = "Igwe" culture = atalai }
19797 = { name = "Eze" culture = atalai }
19798 = { name = "Obi" culture = atalai }
