#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;;
OPTIONS_MORE;More;More;More;;More;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.4;Concerning.;Concerning.;Concerning.;;Concerning.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.5;Never have you seen such numbers. Especially not from the fractured savages that are the trolls. Yet, here they are. Endless hordes press upon elven lands, and the defenders are slaughtered. The primitive humans, recently unified, on the other side of the Amani lands could prove a necessary ally, even if only to keep the trolls busy fighting on two fronts.;Never have you seen such numbers. Especially not from the fractured savages that are the trolls. Yet, here they are. Endless hordes press upon elven lands, and the defenders are slaughtered. The primitive humans, recently unified, on the other side of the Amani lands could prove a necessary ally, even if only to keep the trolls busy fighting on two fronts.;Never have you seen such numbers. Especially not from the fractured savages that are the trolls. Yet, here they are. Endless hordes press upon elven lands, and the defenders are slaughtered. The primitive humans, recently unified, on the other side of the Amani lands could prove a necessary ally, even if only to keep the trolls busy fighting on two fronts.;;Never have you seen such numbers. Especially not from the fractured savages that are the trolls. Yet, here they are. Endless hordes press upon elven lands, and the defenders are slaughtered. The primitive humans, recently unified, on the other side of the Amani lands could prove a necessary ally, even if only to keep the trolls busy fighting on two fronts.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.5.a;Perhaps we have no choice.;Perhaps we have no choice.;Perhaps we have no choice.;;Perhaps we have no choice.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.5.b;No. We need the aid of no primitive.;No. We need the aid of no primitive.;No. We need the aid of no primitive.;;No. We need the aid of no primitive.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.6;In a surprising turn of events, the elves have sent a call for help agains the trolls... to you. You are aware it is in your best interests to consider this, lest the trolls crush you afterwards. Not only that, but you could use this as an opportunity to wrestle the secrets of their magics from them.;In a surprising turn of events, the elves have sent a call for help agains the trolls... to you. You are aware it is in your best interests to consider this, lest the trolls crush you afterwards. Not only that, but you could use this as an opportunity to wrestle the secrets of their magics from them.;In a surprising turn of events, the elves have sent a call for help agains the trolls... to you. You are aware it is in your best interests to consider this, lest the trolls crush you afterwards. Not only that, but you could use this as an opportunity to wrestle the secrets of their magics from them.;;In a surprising turn of events, the elves have sent a call for help agains the trolls... to you. You are aware it is in your best interests to consider this, lest the trolls crush you afterwards. Not only that, but you could use this as an opportunity to wrestle the secrets of their magics from them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.6.a;Send an answer with your demands for assisting them.;Send an answer with your demands for assisting them.;Send an answer with your demands for assisting them.;;Send an answer with your demands for assisting them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.6.b;When have elves ever done anything for us?;When have elves ever done anything for us?;When have elves ever done anything for us?;;When have elves ever done anything for us?;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.7;Why you expected any different is a mystery. The humans have abandoned you to your fate. May their hubris lead to their destruction!;Why you expected any different is a mystery. The humans have abandoned you to your fate. May their hubris lead to their destruction!;Why you expected any different is a mystery. The humans have abandoned you to your fate. May their hubris lead to their destruction!;;Why you expected any different is a mystery. The humans have abandoned you to your fate. May their hubris lead to their destruction!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.7;Unfortunate, but not unexpected.;Unfortunate, but not unexpected.;Unfortunate, but not unexpected.;;Unfortunate, but not unexpected.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.8;The humans agree to come to your aid, but have the gall to demand to be taught magic as a requirement for it. The very concept of a human mage is laughable, but can you really afford to not at least try?;The humans agree to come to your aid, but have the gall to demand to be taught magic as a requirement for it. The very concept of a human mage is laughable, but can you really afford to not at least try?;The humans agree to come to your aid, but have the gall to demand to be taught magic as a requirement for it. The very concept of a human mage is laughable, but can you really afford to not at least try?;;The humans agree to come to your aid, but have the gall to demand to be taught magic as a requirement for it. The very concept of a human mage is laughable, but can you really afford to not at least try?;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.8.a;... very well.;... very well.;... very well.;;... very well.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.8.b;This is an outrage! We refuse!;This is an outrage! We refuse!;This is an outrage! We refuse!;;This is an outrage! We refuse!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.9;Your gambit has paid off. The elves have sent some of their magisters to teach some magic to those capable of it. Now, time to uphold your end of the deal. To war.;Your gambit has paid off. The elves have sent some of their magisters to teach some magic to those capable of it. Now, time to uphold your end of the deal. To war.;Your gambit has paid off. The elves have sent some of their magisters to teach some magic to those capable of it. Now, time to uphold your end of the deal. To war.;;Your gambit has paid off. The elves have sent some of their magisters to teach some magic to those capable of it. Now, time to uphold your end of the deal. To war.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.9;To war.;To war.;To war.;;To war.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.10;It seems the southern humans have come to the aid of the elves despite being treated little better than ourselves at their hands. What madness has overtaken them you cannot even imagine, but let them come anyway. They are soft and weak, and unlike elves have no magic.;It seems the southern humans have come to the aid of the elves despite being treated little better than ourselves at their hands. What madness has overtaken them you cannot even imagine, but let them come anyway. They are soft and weak, and unlike elves have no magic.;It seems the southern humans have come to the aid of the elves despite being treated little better than ourselves at their hands. What madness has overtaken them you cannot even imagine, but let them come anyway. They are soft and weak, and unlike elves have no magic.;;It seems the southern humans have come to the aid of the elves despite being treated little better than ourselves at their hands. What madness has overtaken them you cannot even imagine, but let them come anyway. They are soft and weak, and unlike elves have no magic.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.10;This will not stop us!;This will not stop us!;This will not stop us!;;This will not stop us!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.11;You were one of the humans selected by the elves as a potential candidate for mage training. The training will be rigorous, and some will hate you for what you will become. Do you accept?;You were one of the humans selected by the elves as a potential candidate for mage training. The training will be rigorous, and some will hate you for what you will become. Do you accept?;You were one of the humans selected by the elves as a potential candidate for mage training. The training will be rigorous, and some will hate you for what you will become. Do you accept?;;You were one of the humans selected by the elves as a potential candidate for mage training. The training will be rigorous, and some will hate you for what you will become. Do you accept?;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.11.a;I do.;I do.;I do.;;I do.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.11.b;Absolutely not.;Absolutely not.;Absolutely not.;;Absolutely not.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.12;The training was harsher than you expected, and the elven magisters merciless in their demands. But you've persevered and now can rightfully call yourself a mage. Though not as powerful or wise as an elven magister, you may yet turn the tide of this war.;The training was harsher than you expected, and the elven magisters merciless in their demands. But you've persevered and now can rightfully call yourself a mage. Though not as powerful or wise as an elven magister, you may yet turn the tide of this war.;The training was harsher than you expected, and the elven magisters merciless in their demands. But you've persevered and now can rightfully call yourself a mage. Though not as powerful or wise as an elven magister, you may yet turn the tide of this war.;;The training was harsher than you expected, and the elven magisters merciless in their demands. But you've persevered and now can rightfully call yourself a mage. Though not as powerful or wise as an elven magister, you may yet turn the tide of this war.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.12;At last!;At last!;At last!;;At last!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.13;Even in the face of their own destruction the elves jealously guard their secrets. May their pride be their doom.;Even in the face of their own destruction the elves jealously guard their secrets. May their pride be their doom.;Even in the face of their own destruction the elves jealously guard their secrets. May their pride be their doom.;;Even in the face of their own destruction the elves jealously guard their secrets. May their pride be their doom.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.13;We should see to our own defenses.;We should see to our own defenses.;We should see to our own defenses.;;We should see to our own defenses.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.14;With your magic, you did what was thought impossible: a major troll army was destroyed. Now this war can finally be won.;With your magic, you did what was thought impossible: a major troll army was destroyed. Now this war can finally be won.;With your magic, you did what was thought impossible: a major troll army was destroyed. Now this war can finally be won.;;With your magic, you did what was thought impossible: a major troll army was destroyed. Now this war can finally be won.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.14;Victory!;Victory!;Victory!;;Victory!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.15;Reports reach you about a great victory achieved by a contingent of your newly-trained mages. This alliance with the elves has finally proven its worth.;Reports reach you about a great victory achieved by a contingent of your newly-trained mages. This alliance with the elves has finally proven its worth.;Reports reach you about a great victory achieved by a contingent of your newly-trained mages. This alliance with the elves has finally proven its worth.;;Reports reach you about a great victory achieved by a contingent of your newly-trained mages. This alliance with the elves has finally proven its worth.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.15;A great day for Arathor!;A great day for Arathor!;A great day for Arathor!;;A great day for Arathor!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.16;Reports reach you about a great victory achieved by a contingent of the humans' newly-trained mages. Though surprising, the news are also very welcome. Perhaps now the trolls can be defeated.;Reports reach you about a great victory achieved by a contingent of the humans' newly-trained mages. Though surprising, the news are also very welcome. Perhaps now the trolls can be defeated.;Reports reach you about a great victory achieved by a contingent of the humans' newly-trained mages. Though surprising, the news are also very welcome. Perhaps now the trolls can be defeated.;;Reports reach you about a great victory achieved by a contingent of the humans' newly-trained mages. Though surprising, the news are also very welcome. Perhaps now the trolls can be defeated.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.16;Huh. Looks like they got potential after all.;Huh. Looks like they got potential after all.;Huh. Looks like they got potential after all.;;Huh. Looks like they got potential after all.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.17;Reports reach you about a great victory achieved by a human army that somehow had mages not unlike those of the elves. Truly, it seems there is nothing elves won't do if it means killing your people.;Reports reach you about a great victory achieved by a human army that somehow had mages not unlike those of the elves. Truly, it seems there is nothing elves won't do if it means killing your people.;Reports reach you about a great victory achieved by a human army that somehow had mages not unlike those of the elves. Truly, it seems there is nothing elves won't do if it means killing your people.;;Reports reach you about a great victory achieved by a human army that somehow had mages not unlike those of the elves. Truly, it seems there is nothing elves won't do if it means killing your people.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.17;What?!;What?!;What?!;;What?!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.18;Despite the magical training provided by the elves, you still lost. Maybe it was the trolls' overwhelming numbers. Maybe their spells overpowered yours. Maybe it was nothing but chance. Either way, you've lost and the war's fate hangs in the balance.;Despite the magical training provided by the elves, you still lost. Maybe it was the trolls' overwhelming numbers. Maybe their spells overpowered yours. Maybe it was nothing but chance. Either way, you've lost and the war's fate hangs in the balance.;Despite the magical training provided by the elves, you still lost. Maybe it was the trolls' overwhelming numbers. Maybe their spells overpowered yours. Maybe it was nothing but chance. Either way, you've lost and the war's fate hangs in the balance.;;Despite the magical training provided by the elves, you still lost. Maybe it was the trolls' overwhelming numbers. Maybe their spells overpowered yours. Maybe it was nothing but chance. Either way, you've lost and the war's fate hangs in the balance.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.18;But... my powers...;But... my powers...;But... my powers...;;But... my powers...;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.19;Reports reach you about a battle involving a contingent of your newly-trained mages. They've been defeated by the might of the trolls. Perhaps this war was a mistake?;Reports reach you about a battle involving a contingent of your newly-trained mages. They've been defeated by the might of the trolls. Perhaps this war was a mistake?;Reports reach you about a battle involving a contingent of your newly-trained mages. They've been defeated by the might of the trolls. Perhaps this war was a mistake?;;Reports reach you about a battle involving a contingent of your newly-trained mages. They've been defeated by the might of the trolls. Perhaps this war was a mistake?;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.19;Curses!;Curses!;Curses!;;Curses!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.20;Reports reach you about a battle involving a contingent of the humans' newly-trained mages. They've been defeated by the might of the trolls. Always leave it to the humans to fail at the worst time.;Reports reach you about a battle involving a contingent of the humans' newly-trained mages. They've been defeated by the might of the trolls. Always leave it to the humans to fail at the worst time.;Reports reach you about a battle involving a contingent of the humans' newly-trained mages. They've been defeated by the might of the trolls. Always leave it to the humans to fail at the worst time.;;Reports reach you about a battle involving a contingent of the humans' newly-trained mages. They've been defeated by the might of the trolls. Always leave it to the humans to fail at the worst time.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.20;Pathetic.;Pathetic.;Pathetic.;;Pathetic.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.21;Reports reach you about a battle where the humans fielded mages not unlike those of the elves. Despite that, your armies have still crushed them. Perhaps now they'll learn nothing can stop the Amani.;Reports reach you about a battle where the humans fielded mages not unlike those of the elves. Despite that, your armies have still crushed them. Perhaps now they'll learn nothing can stop the Amani.;Reports reach you about a battle where the humans fielded mages not unlike those of the elves. Despite that, your armies have still crushed them. Perhaps now they'll learn nothing can stop the Amani.;;Reports reach you about a battle where the humans fielded mages not unlike those of the elves. Despite that, your armies have still crushed them. Perhaps now they'll learn nothing can stop the Amani.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.21;Their voodoo is weak.;Their voodoo is weak.;Their voodoo is weak.;;Their voodoo is weak.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.22;It's been a long, bloody war, yet, somehow, you now stand victorious. It cannot be denied that much credit goes to the humans and their mages. Perhaps they are not without hope of being civilized one day.;It's been a long, bloody war, yet, somehow, you now stand victorious. It cannot be denied that much credit goes to the humans and their mages. Perhaps they are not without hope of being civilized one day.;It's been a long, bloody war, yet, somehow, you now stand victorious. It cannot be denied that much credit goes to the humans and their mages. Perhaps they are not without hope of being civilized one day.;;It's been a long, bloody war, yet, somehow, you now stand victorious. It cannot be denied that much credit goes to the humans and their mages. Perhaps they are not without hope of being civilized one day.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.22;Silvermoon prevails. As expected.;Silvermoon prevails. As expected.;Silvermoon prevails. As expected.;;Silvermoon prevails. As expected.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.23;It's been a long, bloody war, yet, thanks to your mages, you now stand victorious. Your alliance with the elves has changed much, even as they retreat back to their enchanted woods and cut ties with you. Your vassals, however, seem to have had their lust for expansion kindled by this victory...;It's been a long, bloody war, yet, thanks to your mages, you now stand victorious. Your alliance with the elves has changed much, even as they retreat back to their enchanted woods and cut ties with you. Your vassals, however, seem to have had their lust for expansion kindled by this victory...;It's been a long, bloody war, yet, thanks to your mages, you now stand victorious. Your alliance with the elves has changed much, even as they retreat back to their enchanted woods and cut ties with you. Your vassals, however, seem to have had their lust for expansion kindled by this victory...;;It's been a long, bloody war, yet, thanks to your mages, you now stand victorious. Your alliance with the elves has changed much, even as they retreat back to their enchanted woods and cut ties with you. Your vassals, however, seem to have had their lust for expansion kindled by this victory...;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.23;A new age dawns for Arathor.;A new age dawns for Arathor.;A new age dawns for Arathor.;;A new age dawns for Arathor.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.24;Despite their alliance with the humans, the elves have fallen. The Amani are triumphant just as Zandalar forsaw. Now is the time to pick the finest spoils.;Despite their alliance with the humans, the elves have fallen. The Amani are triumphant just as Zandalar forsaw. Now is the time to pick the finest spoils.;Despite their alliance with the humans, the elves have fallen. The Amani are triumphant just as Zandalar forsaw. Now is the time to pick the finest spoils.;;Despite their alliance with the humans, the elves have fallen. The Amani are triumphant just as Zandalar forsaw. Now is the time to pick the finest spoils.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.24;None can stop us!;None can stop us!;None can stop us!;;None can stop us!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.25;The elves, in their pride, stood alone. And so they fell alone. As Zandalar foresaw, you were triumphant. Perhaps it is now time to look south, to Arathor...;The elves, in their pride, stood alone. And so they fell alone. As Zandalar foresaw, you were triumphant. Perhaps it is now time to look south, to Arathor...;The elves, in their pride, stood alone. And so they fell alone. As Zandalar foresaw, you were triumphant. Perhaps it is now time to look south, to Arathor...;;The elves, in their pride, stood alone. And so they fell alone. As Zandalar foresaw, you were triumphant. Perhaps it is now time to look south, to Arathor...;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.26;The elves are no more, trampled under the trolls' fury. Now, they ransack the elegant elven cities and divide the spoils amongst themselves. Pray that they do not seek to destroy you next.;The elves are no more, trampled under the trolls' fury. Now, they ransack the elegant elven cities and divide the spoils amongst themselves. Pray that they do not seek to destroy you next.;The elves are no more, trampled under the trolls' fury. Now, they ransack the elegant elven cities and divide the spoils amongst themselves. Pray that they do not seek to destroy you next.;;The elves are no more, trampled under the trolls' fury. Now, they ransack the elegant elven cities and divide the spoils amongst themselves. Pray that they do not seek to destroy you next.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.26;Worrying.;Worrying.;Worrying.;;Worrying.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.27;It's been a long, bloody war, yet, somehow, you now stand victorious. And without any aid from the primitive humans either, despite what the less patriotic said about your chances.;It's been a long, bloody war, yet, somehow, you now stand victorious. And without any aid from the primitive humans either, despite what the less patriotic said about your chances.;It's been a long, bloody war, yet, somehow, you now stand victorious. And without any aid from the primitive humans either, despite what the less patriotic said about your chances.;;It's been a long, bloody war, yet, somehow, you now stand victorious. And without any aid from the primitive humans either, despite what the less patriotic said about your chances.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.28;The war is over and the elves, though they stood alone, are victorious. Their magic is strong indeed, shame you were unable to acquire it.;The war is over and the elves, though they stood alone, are victorious. Their magic is strong indeed, shame you were unable to acquire it.;The war is over and the elves, though they stood alone, are victorious. Their magic is strong indeed, shame you were unable to acquire it.;;The war is over and the elves, though they stood alone, are victorious. Their magic is strong indeed, shame you were unable to acquire it.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.28;Damn elves.;Damn elves.;Damn elves.;;Damn elves.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.29;You now hold the arathi empire, thus achieving dominion over human lands.;You now hold the arathi empire, thus achieving dominion over human lands.;You now hold the arathi empire, thus achieving dominion over human lands.;;You now hold the arathi empire, thus achieving dominion over human lands.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.29;I am great.;I am great.;I am great.;;I am great.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.30;You now hold the amani empire, thus achieving dominion over forest troll lands.;You now hold the amani empire, thus achieving dominion over forest troll lands.;You now hold the amani empire, thus achieving dominion over forest troll lands.;;You now hold the amani empire, thus achieving dominion over forest troll lands.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.31;With the end of the war, there are new lands to claim for humanity. The mountainous region of Alterac is one of them.;With the end of the war, there are new lands to claim for humanity. The mountainous region of Alterac is one of them.;With the end of the war, there are new lands to claim for humanity. The mountainous region of Alterac is one of them.;;With the end of the war, there are new lands to claim for humanity. The mountainous region of Alterac is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.31a;I should take the initiative.;I should take the initiative.;I should take the initiative.;;I should take the initiative.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.31b;I am happy with what I have.;I am happy with what I have.;I am happy with what I have.;;I am happy with what I have.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.32;With the end of the war, there are new lands to claim for humanity. The lakeside region of Dalaran is one of them.;With the end of the war, there are new lands to claim for humanity. The lakeside region of Dalaran is one of them.;With the end of the war, there are new lands to claim for humanity. The lakeside region of Dalaran is one of them.;;With the end of the war, there are new lands to claim for humanity. The lakeside region of Dalaran is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.33;With the end of the war, there are new lands to claim for humanity. The peninsular region of Gilneas is one of them.;With the end of the war, there are new lands to claim for humanity. The peninsular region of Gilneas is one of them.;With the end of the war, there are new lands to claim for humanity. The peninsular region of Gilneas is one of them.;;With the end of the war, there are new lands to claim for humanity. The peninsular region of Gilneas is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.34;With the end of the war, there are new lands to claim for humanity. The insular region of Kul Tiras is one of them.;With the end of the war, there are new lands to claim for humanity. The insular region of Kul Tiras is one of them.;With the end of the war, there are new lands to claim for humanity. The insular region of Kul Tiras is one of them.;;With the end of the war, there are new lands to claim for humanity. The insular region of Kul Tiras is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.35;With the end of the war, there are new lands to claim for humanity. The vast region of Lordaeron is one of them.;With the end of the war, there are new lands to claim for humanity. The vast region of Lordaeron is one of them.;With the end of the war, there are new lands to claim for humanity. The vast region of Lordaeron is one of them.;;With the end of the war, there are new lands to claim for humanity. The vast region of Lordaeron is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.36;It occurs to you that the land of the Revantusk has no king. Maybe it should be yours.;It occurs to you that the land of the Revantusk has no king. Maybe it should be yours.;It occurs to you that the land of the Revantusk has no king. Maybe it should be yours.;;It occurs to you that the land of the Revantusk has no king. Maybe it should be yours.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.37;It occurs to you that the land of Silvermoon has no king. Maybe it should be yours.;It occurs to you that the land of Silvermoon has no king. Maybe it should be yours.;It occurs to you that the land of Silvermoon has no king. Maybe it should be yours.;;It occurs to you that the land of Silvermoon has no king. Maybe it should be yours.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.38;With the end of the war, there are new lands to claim for humanity. The distant region of Stormwind is one of them.;With the end of the war, there are new lands to claim for humanity. The distant region of Stormwind is one of them.;With the end of the war, there are new lands to claim for humanity. The distant region of Stormwind is one of them.;;With the end of the war, there are new lands to claim for humanity. The distant region of Stormwind is one of them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
