#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
EVTTOOLTIP_Keitaro_Approve_the_plan;Approve the plan;Approuver le plan;Stimmt dem Plan zu;;Aprobar el plan;;;;;;;;;x
EVTOPTB_Keitaro_Plot_9;[Keitaro_Plot_9_revolt_2.GetTitledName].;;;;;;;;;;;;;x
EVTOPTC_Keitaro_Plot_9;[Keitaro_Plot_9_revolt_3.GetTitledName].;;;;;;;;;;;;;x
EVTOPTD_Keitaro_Plot_9;[Keitaro_Plot_9_revolt_4.GetTitledName].;;;;;;;;;;;;;x
EVTOPTE_Keitaro_Plot_9;There are no revolts against [plot_leader.PlotTarget.GetTitledName] anymore.;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_Plot_9;The measures to help a rebellion are cancelled.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_10;The plot leader [From.GetTitledName] is telling me that I can go along with the plan. The troops are ready.;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_10;Send them!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_11;A band of warriors have come to help me in my cause! [Root.Religion.GetHighGodName] is truly with me!;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_Plot_11;§Y[Root.GetTitledName]§! receives additional troops;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_12;[From.GetTitledName] received the troops that [FromFrom.GetTitledName] sent. My plot is a success!;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_12;[Root.PlotTarget.GetTitledName] is in trouble!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_13;[From.GetTitledName] received the troops that [FromFrom.GetTitledName] sent but my involvement got to [Root.PlotTarget.GetTitledName].;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_13;At least, [Root.PlotTarget.GetTitledName] is in trouble!;;;;;;;;;;;;;x
